,year
EBOV|AA000000|G3724|SierraLeone_G|2014-06-05,2014.42465753425
EBOV|AA000000|G3713|SierraLeone_G|2014-06-09,2014.43561643836
EBOV|AA000000|G3707|SierraLeone_G|2014-05-31,2014.41095890411
EBOV|AA000000|EM124|SierraLeone_EM|2014-06-04,2014.42191780822
EBOV|AA000000|EM121|SierraLeone_EM|2014-06-04,2014.42191780822
EBOV|AA000000|EM120|SierraLeone_EM|2014-06-03,2014.41917808219
EBOV|AA000000|EM119|SierraLeone_EM|2014-06-03,2014.41917808219
EBOV|AA000000|EM115|SierraLeone_EM|2014-06-03,2014.41917808219
EBOV|AA000000|EM113|SierraLeone_EM|2014-06-03,2014.41917808219
EBOV|AA000000|EM112|SierraLeone_EM|2014-06-03,2014.41917808219
EBOV|AA000000|EM111|SierraLeone_EM|2014-06-03,2014.41917808219
EBOV|AA000000|EM110|SierraLeone_EM|2014-06-03,2014.41917808219
EBOV|AA000000|EM106|SierraLeone_EM|2014-06-02,2014.41643835616
EBOV|AA000000|EM104|SierraLeone_EM|2014-06-02,2014.41643835616
